V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,hom2004
12,4,0,0,0,0,19,0,16,12,194,0,0,1,4,8,2,1,0,0,0,0,0,2,0,3,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
6,2,0,0,0,1,8,19,11,20,118,0,0,1,2,12,2,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,1,1,0,0,0,0,0,1,2,0,0,14,0,0,0,0,2,0,3,0,0,0,0,0,1,1,1,0,7,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,1,0,0,0,2,13,2,30,21,172,0,0,2,2,9,4,1,0,0,0,0,0,1,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,7,0,0,0,2,2,0,0,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
11,1,0,0,0,2,16,4,21,17,220,0,0,3,1,14,5,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,9,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10
10,2,0,0,0,1,13,10,22,55,136,0,0,4,4,13,3,1,0,0,0,0,0,2,0,2,0,11,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,9,10,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,13,6,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
4,1,0,0,0,1,14,4,24,44,249,0,0,1,1,20,3,0,1,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,1,0,1,4,0,0,0,0,0,0,0,2,1,0,2,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7
7,1,0,0,0,4,15,3,43,36,267,0,1,1,4,15,6,2,0,0,0,0,0,3,0,1,1,9,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,11,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,10,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
12,2,1,15,1,4,17,9,20,27,158,0,0,2,3,9,30,1,0,0,0,0,0,1,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,5,4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,3,8,0,0,0,1,6,4,2,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
6,2,0,1,0,4,13,6,28,44,245,0,36,0,4,12,25,2,0,0,0,0,1,1,0,2,1,10,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1,6,7,0,2,0,1,2,1,2,0,0,1,0,1,0,1,6,4,6,0,3,0,2,4,2,1,0,0,3,0,0,2,0,2,9,12,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
7,4,0,0,0,2,13,27,26,28,192,0,34,1,0,8,19,0,0,0,1,0,1,1,0,0,0,18,0,4,0,0,0,4,0,0,0,0,0,0,1,0,2,3,24,0,2,0,0,0,3,1,0,0,0,0,0,2,3,4,2,15,0,6,1,0,5,2,0,0,0,0,0,0,1,1,2,2,12,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
16,2,0,4,0,3,15,29,23,4,127,0,26,1,0,4,34,0,0,0,0,0,0,2,2,2,0,16,0,3,0,0,0,1,0,1,0,0,0,0,1,1,1,0,4,0,2,0,1,0,0,0,0,0,0,0,0,5,1,2,2,8,0,0,0,2,3,5,1,0,0,0,0,0,1,0,1,0,18,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
11,5,0,7,0,1,23,28,19,10,197,1,41,2,0,1,21,1,0,0,0,0,0,3,2,2,0,8,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,14,0,1,0,0,0,2,0,0,0,0,0,0,2,1,2,0,17,0,3,0,0,4,5,0,0,0,0,0,0,0,1,0,0,14,0,5,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10,4,0,9,0,3,11,25,18,10,110,0,33,2,1,8,48,2,0,0,0,0,0,0,2,3,0,6,0,1,0,0,0,1,0,0,0,0,0,1,2,2,1,3,17,0,4,0,0,0,2,1,0,0,0,0,0,2,1,5,0,10,0,0,0,1,1,4,1,0,0,0,0,0,0,2,1,1,19,0,2,0,1,0,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
10,1,0,3,0,3,10,18,10,5,75,0,23,2,0,3,36,1,1,1,0,0,0,0,1,2,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,4,9,0,2,0,0,0,3,3,1,0,0,0,0,1,2,2,3,20,0,3,0,0,5,4,0,0,0,0,0,0,2,1,1,2,16,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
3,1,0,7,0,2,11,28,15,8,53,0,13,1,1,3,20,2,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,1,2,1,0,0,0,0,0,3,0,2,1,8,0,2,0,1,4,1,0,0,0,0,0,0,2,1,0,0,8,0,2,0,4,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
9,1,0,0,0,4,17,31,15,7,32,0,13,0,1,8,30,2,0,0,0,0,0,1,1,1,0,3,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,1,3,1,0,0,0,0,1,0,0,1,0,9,0,2,0,0,5,4,1,0,0,0,0,0,2,1,1,2,16,0,2,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
5,2,0,0,0,5,8,28,6,11,41,0,26,2,1,3,24,3,0,0,0,0,1,1,4,2,0,8,0,6,0,1,0,4,0,0,0,0,0,0,0,0,1,5,8,0,1,0,0,1,1,2,1,0,0,0,0,1,1,1,4,10,0,0,0,0,1,5,0,0,0,0,0,0,1,0,1,2,8,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,3,0,0,0,0,10,22,9,9,37,0,15,0,0,5,17,2,0,0,0,0,0,0,2,2,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,13,0,1,0,0,0,1,0,0,0,0,0,1,1,2,3,3,10,0,2,1,1,0,2,0,0,0,0,0,0,1,0,0,4,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
6,4,1,0,0,0,9,20,16,5,62,0,15,1,1,2,28,0,0,0,0,0,0,0,0,0,1,22,0,2,0,0,0,0,1,0,0,0,0,0,2,3,1,1,14,0,5,0,0,0,4,0,0,0,0,0,0,0,1,3,1,8,0,1,0,0,3,3,0,0,0,0,0,0,1,2,2,3,6,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8
