V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,hom2004
22,1,0,39,4,0,5,3,2,2,12,2,3,4,2,1,22,6,2,0,211,37,3,5,13,11,0,49,3,14,6,6,10,27,6,1,0,7,2,2,1,1,2,0,6,0,0,1,1,0,5,136,7,0,153,53,5,17,14,14,3,251,0,15,5,7,9,48,6,0,0,21,4,1,0,0,1,0,15,0,0,0,0,1,5,12
12,3,2,44,15,1,1,4,1,0,5,5,8,2,1,7,16,10,6,1,211,37,6,11,11,10,0,50,2,15,5,2,12,32,8,0,0,8,1,0,3,0,0,0,5,0,2,0,1,0,4,161,8,0,222,64,8,19,4,16,2,225,1,19,8,4,13,64,9,2,1,26,4,1,0,0,1,0,14,0,0,0,1,0,5,23
23,1,5,42,13,1,5,3,3,0,11,2,8,4,5,9,21,2,4,0,195,37,0,7,5,6,1,84,2,22,13,3,19,24,5,0,0,16,3,0,4,1,0,0,2,0,1,0,0,3,1,134,8,0,188,61,9,23,9,13,3,189,2,16,8,5,21,77,16,1,1,10,5,2,1,0,1,0,20,0,1,0,0,1,3,24
24,0,0,43,9,4,1,1,2,1,7,1,7,2,2,8,22,4,0,1,206,43,2,4,4,14,0,84,1,26,5,6,11,27,4,0,0,11,2,0,0,0,1,0,7,0,1,0,0,1,5,125,6,0,218,47,7,28,10,20,2,152,1,15,13,7,14,66,6,0,0,14,4,0,1,0,2,0,14,0,2,0,0,1,4,32
32,5,1,45,17,3,4,5,3,0,26,0,11,5,4,2,26,11,4,1,169,32,6,5,7,10,0,151,3,14,9,5,13,22,8,0,0,16,3,0,1,1,1,0,4,0,3,1,0,2,4,97,6,1,216,97,6,19,21,16,2,192,0,22,9,0,131,67,8,0,1,17,5,0,0,1,1,0,4,0,3,1,0,0,3,19
19,2,2,28,13,1,0,3,3,0,15,2,9,12,2,3,21,3,1,0,137,47,3,9,4,5,1,116,2,12,11,4,4,26,5,0,0,12,3,1,0,2,1,0,8,0,3,5,1,0,4,100,11,0,181,95,4,11,12,7,4,252,0,16,17,6,16,60,11,2,1,12,1,3,1,0,1,0,13,0,1,5,0,0,2,11
11,1,3,44,14,2,0,3,3,0,22,3,4,4,1,4,16,6,2,2,153,42,5,4,5,7,1,101,2,28,14,5,21,21,7,0,0,29,1,0,0,1,2,0,17,1,0,1,0,1,1,91,8,1,177,118,8,9,10,11,1,166,0,15,13,2,7,43,7,0,0,25,4,0,0,0,0,0,17,1,1,1,0,0,6,12
12,0,1,35,11,3,1,1,1,0,26,2,5,5,3,6,10,5,1,0,136,35,1,8,5,9,1,107,0,21,30,2,7,35,5,0,0,17,4,2,0,0,2,0,19,0,1,1,0,0,3,122,9,1,139,79,2,23,14,14,4,199,2,10,19,4,13,38,2,0,0,7,1,2,2,1,2,0,7,0,3,4,0,0,3,5
5,1,2,40,11,7,2,1,2,2,26,1,5,9,2,7,21,6,1,0,144,41,16,7,7,8,0,118,7,10,40,6,11,33,6,1,0,14,9,1,1,0,0,0,2,0,0,1,0,0,6,95,8,1,148,74,11,20,7,13,4,168,0,9,31,7,9,36,5,1,0,10,5,1,0,1,2,0,12,0,2,1,1,0,5,33
33,0,1,34,12,3,1,1,3,1,18,2,5,10,0,2,10,10,1,0,152,35,21,11,11,9,0,130,0,29,39,2,6,17,3,1,0,23,4,1,0,0,1,0,1,0,2,0,0,0,0,114,8,1,148,67,12,21,10,16,8,240,0,16,29,1,21,44,10,3,0,11,2,0,1,0,3,0,10,0,2,1,0,1,3,23
23,2,1,21,0,1,2,1,0,0,17,3,2,3,1,1,4,5,1,0,136,0,4,8,5,9,0,97,0,7,23,2,3,7,2,1,0,15,5,1,0,0,1,0,2,0,2,0,0,1,1,129,9,1,86,31,1,13,6,6,3,109,0,11,24,0,7,25,20,1,0,10,1,0,1,0,1,0,8,0,0,1,0,0,2,26
26,1,2,31,6,1,3,2,3,0,8,4,7,3,1,1,11,7,3,0,129,17,3,4,3,7,0,73,1,14,10,0,2,10,8,1,0,20,6,0,0,1,0,0,4,0,2,1,0,3,5,121,9,0,109,17,3,6,7,12,7,156,0,14,19,0,1,48,15,2,0,19,2,1,0,1,2,0,3,0,0,1,0,0,5,15
